,Made from,Country of origin,Region,Type,Family,Fat content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers
Mountain Goat,goat's milk,Australia,"Mornington Peninsula, Melbourne","hard, artisan",Tomme,,firm,natural,ivory,,subtle,yes ,BoatShed Cheese
Mountain Herbs Rebel,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy and smooth,natural,pale yellow,"creamy, nutty, spicy","aromatic, grassy, sweet",,Sulzberger Käserebellen Sennerei GmbH
Mountain Rebel,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,compact and creamy,natural,yellow,"creamy, fruity","aromatic, spicy",,Sulzberger Käserebellen Sennerei GmbH
Mozzarella,pasteurized or unpasteurized cow's or water buffalo's milk,Italy,"Campania, Abruzzo, Molise and Puglia","semi-soft, brined",,45%,"springy, stringy and supple",rindless,white,milky,"fresh, milky",,
Mozzarella (Australian),pasteurized or unpasteurized cow's or water buffalo's milk,Australia,,"semi-soft, brined",Pasta filata,45%,"springy, stringy and supple",rindless,white,milky,"fresh, milky",yes ,
Mozzarellissima,pasteurized cow's milk,United States,,"semi-soft, artisan",Pasta filata,,"elastic, springy, stringy and supple",rindless,pale yellow,"buttery, mild, milky",mild,yes ,Saputo Dairy Products Canada G.P.
Ms. Natural,pasteurized goat's milk,United States,California,fresh soft,,,"creamy, crumbly, smooth and spreadable",rindless,white,"citrusy, creamy","fresh, mild",yes ,Cypress Grove Chevre
Mt. Mazama Cheddar,pasteurized cow's and goat's milk,United States,Oregon,semi-hard,Cheddar,,"creamy, crumbly, crystalline and dense",natural,pale yellow,"acidic, caramel, nutty, sweet, tangy","pleasant, rich",yes ,The Rogue Creamery
Mt Scott,cow's milk,New Zealand,Queenstown,semi-soft,,,smooth and supple,natural,yellow,"buttery, sharp, sweet",,yes ,The Gibbston Valley Cheese Company
Mt Tam,pasteurized cow's milk,United States,California,soft,,,creamy and firm,bloomy,pale yellow,"buttery, earthy","grassy, mushroom, rich",yes ,Cowgirl Creamery
Muddlewell,unpasteurized cow's and sheep's milk,England,North Wootton,"hard, artisan",,,creamy and crumbly,natural,ivory,mild,strong,yes ,Wootton Organic Dairy
Muenster,pasteurized cow's milk,United States,,"soft, processed",,,smooth,,pale yellow,mild,"pungent, strong",,
Muffato,pasteurized cow's milk,Italy,"Treviso, Veneto","semi-hard, artisan",Blue,,flaky,mold ripened ,ivory,"full-flavored, grassy, herbaceous",woody,,Moro Latteria di Moro Sergio
Mun-chee,pasteurized cow's milk,United States,"Richfield, Wisconsin","semi-soft, processed",,,creamy and smooth,natural,pale yellow,"mild, sweet",mild,,
Munster,unpasteurized cow's milk,France,"Vosges, Haut-Rhin, Bas-Rhin","soft, smear-ripened",,45-50%,"creamy, smooth and sticky",washed,white,"savory, tangy","stinky, strong", no ,
Muranda Blue,cow's milk,United States,NY,"semi-hard, blue-veined",Blue,,crumbly,natural,pale yellow,"salty, sharp, strong",strong,,Muranda Cheese Company
Murazzano DOP,cow's and goat's milk,Italy,Murazzano,"fresh soft, processed",,,soft,rindless,white,spicy,mild,,La Casera srl
Murol,pasteurized cow's milk,France,,"semi-soft, artisan",,45%,"creamy, firm and springy",washed,ivory,"mild, milky, savory, sweet",aromatic, no ,La Fromagerie du Grand Murols
Mycella,pasteurized cow's milk,Denmark,Bornholm ,"soft, artisan, blue-veined",,50-60%,crystalline,rindless,pale yellow,mild,, no ,Various
Myzithra,"unpasteurized cow's, goat's and sheep's milk",Greece,,"fresh soft, whey",Cottage,,"creamy, crumbly, firm, flaky and spreadable",natural,white,"mild, salty, sour","mild, pungent",,CHRISTAKIS Greek Cheeses
Naboulsi,pasteurized goat's or sheep's milk,Middle East,Nablus,"semi-hard, brined",,,dense,natural,white,salty,fresh,,
Nantais,cow's milk,France,Anjou,"soft, artisan",,40%,"open, sticky and supple",washed,straw,"smokey , spicy",, no ,Various
Natural Chevre,pasteurized goat's milk,United States,Missouri,"fresh soft, artisan",,,creamy and soft,rindless,white,"mild, milky, spicy",fresh,yes ,Heartland Creamery
Natural Smoked Van Gogh Gouda,pasteurized cow's milk,United States,Wisconsin,semi-hard,Gouda,,compact,natural,pale yellow,subtle,smokey,,Emmi Roth USA
Nettle Meadow Kunik,pasteurized cow's and goat's milk,United States,New York,"soft, soft-ripened",Brie,,creamy and smooth,mold ripened ,white,"creamy, tangy",, no ,Nettle Meadow Farm
Nettles Gone Wild,pasteurized goat's milk,Italy,Lombardy,"soft, artisan, soft-ripened",,,creamy,,white,"earthy, full-flavored",rich,,Fifth Town Artisan Cheese
Neufchatel,pasteurized cow's milk,France,"Haute-Normandie, Neufchâtel-en-Bray","semi-soft, artisan",Camembert,45%,"close, firm, grainy, spreadable and supple",bloomy,white,"mushroomy, nutty, salty, sharp",yeasty, no ,
Neufchatel (Australian),cow's milk,Australia,,semi-soft,,,creamy and smooth,,,mild,, no ,
New Moon,pasteurized cow's milk,United States,Port Townsend,semi-hard,Monterey Jack,,"compact, creamy, firm, open and supple",natural,ivory,"buttery, subtle, sweet","mild, pleasant, rich", no ,Mt. Townsend Creamery
Nicasio Reserve,pasteurized cow's milk,United States,California,hard,,,dense and smooth,natural,pale yellow,"creamy, fruity, grassy, nutty","fresh, rich",,Nicasio Valley Cheese Company
Nicasio Square,pasteurized cow's milk,United States,California,"semi-soft, brined",,,creamy and crumbly,washed,pale yellow,"caramel, mild, yeasty","aromatic, earthy, strong", no ,Nicasio Valley Cheese Company
Niolo,unpasteurized sheep's milk,France,Corsian,"soft, processed",Cheddar,50%,creamy,washed,white,nutty,strong, no ,
Nocciolino,pasteurized cow's milk,Italy,Piedmont,"semi-soft, artisan",Italian Cheese,45%,crumbly and dense,washed,white,"salty, savory",mild,yes ,La Casera srl
Nocciolo,pasteurized cow's milk,Italy,Piedmont,"semi-soft, artisan",Italian Cheese,45%,crumbly and dense,washed,white,"nutty, tangy","milky, nutty",yes ,La Casera srl
Nocturne ,pasteurized cow's milk,United States,California,"soft, soft-ripened",,,dense and soft,bloomy,white,"creamy, mushroomy, sweet, tangy, tart",fresh,,Andante Dairy 
Nokkelost,cow's milk,Norway,,semi-hard,,45%,creamy,natural,pale yellow,"nutty, spicy, tangy",, no ,
Northumberland,"cow's, goat's or sheep's milk",England and United Kingdom,"Northumberland, England",,,,,,,,,,Northumberland Cheese Company
Noyan,pasteurized cow's milk,Canada,"Noyan, Quebec","semi-soft, artisan, smear-ripened",,24%,"open, smooth and supple",washed,cream,"acidic, milky, nutty",mushroom,,Fromagerie Fritz Kaiser
Nut Rebel,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy and firm,natural,orange,"nutty, smooth, sweet","nutty, pleasant",,Sulzberger Käserebellen Sennerei GmbH
Oak Smoked Cheddar,pasteurized cow's milk,Ireland,Kilmallock County Limerick,"semi-hard, artisan",Cheddar,,smooth,,pale yellow,smokey ,smokey,,J.O.D. Foods
Oak Smoked Wensleydale,pasteurized cow's milk,United Kingdom,North Yorkshire,"hard, artisan",,,creamy and crumbly,cloth wrapped,pale yellow,smokey ,smokey,,Wensleydale Creamery
Oasis,goat's milk,Australia,"Mornington Peninsula, Melbourne","soft, artisan",,,fluffy,,,,"fresh, lactic",yes ,BoatShed Cheese
Oaxaca,pasteurized cow's milk,Mexico,Oaxaca,"semi-hard, artisan",Pasta filata,,"smooth, stringy and supple",rindless,white,"buttery, mild, salty, savory",pleasant, no ,Cesar's Cheese 
Ocooch Mountain,unpasteurized sheep's milk,United States,Wisconsin,"semi-hard, artisan",,,"chewy, compact, dense and grainy",natural,pale yellow,"fruity, nutty","nutty, rich", no ,Hidden Springs Company
Odysseus Marinated Feta,pasteurized or unpasteurized goat's and sheep's milk,,,"soft, brined",Feta,,"creamy, grainy and open",,yellow,"creamy, woody","aromatic, herbal",yes ,Cheese Slices
Off Kilter,pasteurized cow's milk,United States,Port Townsend,semi-soft,,,open and supple,washed,white,"earthy, meaty, nutty, pungent, sweet, tart","earthy, lactic", no ,Mt. Townsend Creamery
Ogleshield,unpasteurized cow's milk,"England, Great Britain and United Kingdom","Cadbury, Somerset","semi-soft, artisan",,,creamy and supple,washed,cream,"fruity, sweet",pungent, no ,Village Stores
Okanagan Double Cream Camembert ,pasteurized cow's milk,Canada,Quebec,"soft, artisan, soft-ripened",Camembert,,"buttery, creamy, soft and soft-ripened",bloomy,pale yellow,"buttery, creamy, mushroomy","mushroom, pungent",,Poplar Grove Cheese
Old Burford,unpasteurized cow's milk,England,Somerset,"soft, artisan",,,"creamy, smooth and soft",bloomy,pale yellow,"creamy, sweet","rich, sweet",yes ,Wootton Organic Dairy
Old Drovers Road,unpasteurized cow's milk,United States,Fairview,"semi-hard, artisan",Cheddar,,creamy and crumbly,natural,yellow,"buttery, creamy, sharp",grassy,,Looking Glass Creamery
Olde York,pasteurized sheep's milk,"England, Great Britain and United Kingdom",Thirsk,"fresh soft, artisan",,45%,"smooth, spreadable and supple",natural,white,"acidic, sweet",,yes ,Shepherds Purse
Old Ford,unpasteurized goat's milk,"England, Great Britain and United Kingdom","Timsbury, Somerset","semi-hard, artisan",,,"compact, crumbly and dense",natural,ivory,"buttery, citrusy, floral, salty, savory","barnyardy, floral, goaty", no ,
Old Goat,unpasteurized goat's milk,United States,Vermont,"semi-hard, artisan",,,"crumbly, firm, flaky and smooth",natural,ivory,"caramel, salty, subtle, sweet",nutty, no ,Twig Farm
Old Harry,unpasteurized cow's milk,"England, Great Britain and United Kingdom",Dorset,"hard, artisan",Cheddar,,firm and smooth,natural,yellow,"creamy, full-flavored, sharp",, no ,Chalke Valley Cheese Ltd
Old Kentucky Tomme,unpasteurized goat's milk,United States,Indiana,"semi-soft, artisan",Tomme,,buttery and creamy,mold ripened ,white,"buttery, mushroomy, smooth","goaty, rich", no ,Capriole Goat Cheese
Old Winchester,pasteurized cow's milk,"England, Great Britain and United Kingdom",Landford,"hard, artisan",Gouda,,"crystalline, dry and flaky",natural,yellow,"crunchy, full-flavored, sweet",,yes ,Lyburn Farm
Olivet au Foin,pasteurized or unpasteurized cow's milk,France,Loire,"soft, artisan, soft-ripened",Camembert,45%,creamy and smooth,mold ripened ,pale yellow,"herbaceous, mild, salty","floral, fresh, herbal", no ,
Olivet Bleu,pasteurized cow's milk,France,,"soft, artisan",,40%,grainy,natural,cream,salty,,yes ,Various
Olivet Cendre,unpasteurized cow's milk,France,Olivet,"soft, artisan",,45%,smooth and supple,natural,ivory,"mild, smooth","earthy, pungent", no ,
Olomoucke Tvaruzky,pasteurized cow's milk,Czech Republic,Ostrava,"soft, soft-ripened",,0.6%,crumbly and soft,,yellow,"pungent, spicy",strong,,A. W. Company
Oltermanni,pasteurized cow's milk,Finland,,semi-soft,Havarti,34%,"creamy, smooth and spreadable",rindless,pale yellow,"buttery, mild","fresh, pleasant",yes ,Valio Ltd 
Oma,unpasteurized cow's milk,United States,Vermont,"soft, artisan, smear-ripened",Tomme,,"buttery, creamy and soft",washed,cream,"creamy, meaty, pungent, sweet","buttery, earthy, nutty", no ,"Jasper Hill Farm, Von Trapp Farmstead"
Onion & Chives Cheddar,cow's milk,United States,Wisconsin ,semi-soft,Cheddar,,smooth,natural,yellow,"full-flavored, savory",,,Henning's Wisconsin Cheese
Operetta,pasteurized goat's milk,Canada,"Prince Edward County, Ontario","soft, artisan, soft-ripened",,,dense and dry,mold ripened ,white,strong,"lactic, pleasant",,Fifth Town Artisan Cheese
Opus 42,pasteurized cow's milk,United States,Maine,"semi-hard, artisan",,,crumbly and firm,natural,pale yellow,"lemony, nutty, sharp","earthy, pleasant, yeasty",yes ,Lakin's Gorges Cheese LLC
Oregon Blue Cheese,unpasteurized cow's milk,United States,Oregon,"semi-soft, blue-veined",Blue,,buttery and firm,,pale yellow,"buttery, mellow, sweet","clean, earthy",yes ,Rogue Creamery
Oregonzola,unpasteurized cow's milk,United States,Oregon,"semi-soft, blue-veined",Blue,,"buttery, creamy and smooth",natural,pale yellow,"savory, sweet, tangy",fruity,yes ,Rogue Creamery
Organic Beer-Brined Moochego,pasteurized cow's milk,United States,NY,semi-soft,,,"creamy, firm and smooth",natural,brown,full-flavored,rich,yes ,"Engelbert Farms, LLC"
Organic Carrot,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy,natural,orange,"creamy, milky, sweet","aromatic, fresh, lactic, sweet",,Sulzberger Käserebellen Sennerei GmbH
Organic Cheddar,pasteurized or unpasteurized cow's milk,United States,NY,"hard, artisan",Cheddar,,"creamy, crumbly, firm and smooth",natural,yellow,"creamy, sharp, smooth",pleasant,,"Engelbert Farms, LLC"
Organic Chili,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,"creamy, firm and smooth",natural,yellow,spicy,strong,,Sulzberger Käserebellen Sennerei GmbH
Organic Creamy Emmenthal,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy,natural,yellow,"creamy, mild, nutty","fresh, mild",,Sulzberger Käserebellen Sennerei GmbH
Organic Elderflower,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy,natural,yellow,"fruity, mild","floral, pleasant",,Sulzberger Käserebellen Sennerei GmbH
Organic Farm,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy and smooth,natural,yellow,"creamy, smooth",,,Sulzberger Käserebellen Sennerei GmbH
Organic Feta,pasteurized cow's milk,United States,NY,"soft, brined",Feta,,crumbly and open,rindless,white,"salty, sharp, tangy",mild,yes ,
Organic Fitness,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,35%,creamy and smooth,natural,yellow,"mild, spicy",mild,,Sulzberger Käserebellen Sennerei GmbH
Organic Flower Meadow,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,48%,creamy,natural,golden yellow,"floral, grassy, herbaceous, mild","aromatic, herbal",,Sulzberger Käserebellen Sennerei GmbH
Organic Gouda,pasteurized cow's milk,United States,NY,"hard, artisan",Gouda,,"compact, crumbly, dense and springy",natural,yellow,"creamy, full-flavored, herbaceous, smokey ",pungent,yes ,"Engelbert Farms, LLC"
Organic Mango,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,"creamy, firm and smooth",natural,golden orange,"fruity, sweet","fresh, fruity",,Sulzberger Käserebellen Sennerei GmbH
Organic MooVache,pasteurized cow's milk,United States,NY,"soft, artisan",,,spreadable,natural,pale yellow,"earthy, smooth, tangy, tart",clean,yes ,"Engelbert Farms, LLC"
Organic Mountain,unpasteurized cow's milk,Austria,Sulzberg,"hard, artisan",,45%,firm and smooth,natural,yellow,"mild, smooth",aromatic,,Sulzberger Käserebellen Sennerei GmbH
Organic Mountain Climber,unpasteurized cow's milk,Austria,Sulzberg,"hard, artisan",,50%,"crumbly, open and smooth",natural,yellow,"sharp, spicy",strong,,Sulzberger Käserebellen Sennerei GmbH
Organic Pepper ,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,"creamy, firm and smooth",natural,golden yellow,"sharp, spicy","spicy, strong",,Sulzberger Käserebellen Sennerei GmbH
Organic Walnut,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,"creamy, firm and smooth",natural,yellow,"nutty, sweet",mild,,Sulzberger Käserebellen Sennerei GmbH
Organic Wild Garlic ,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,"creamy, firm and smooth",natural,brownish yellow,"garlicky, spicy",fresh,,Sulzberger Käserebellen Sennerei GmbH
Original Havarti,pasteurized cow's milk,United States,Wisconsin,semi-soft,Havarti,,buttery,,pale yellow,"buttery, creamy",fresh,,Emmi Roth USA
Original Illertaler,cow's milk,Germany,Allgäu,"semi-hard, artisan",,,dry and firm,,pale yellow,"nutty, subtle",mild,yes ,Käserei Champignon
Orkney Extra Mature Cheddar,pasteurized cow's milk,Scotland and United Kingdom,Orkney Isles,hard,Cheddar,,firm and smooth,,pale yellow,"acidic, nutty, sharp",strong,,The Orkney Cheese Company Ltd
Orkney Mature Cheddar,pasteurized cow's milk,Ireland and United Kingdom,Orkney Isles,"hard, artisan",Cheddar,,"firm, smooth and soft",natural,yellow,"creamy, mellow, savory, sharp",nutty,,The Orkney Cheese Company Ltd
Orkney Medium Coloured Cheddar,pasteurized cow's milk,Ireland and United Kingdom,Orkney Isles,"semi-hard, artisan",Cheddar,,"close, firm and smooth",natural,yellow,"mellow, savory",clean,,The Orkney Cheese Company Ltd
Orla,pasteurized sheep's milk,Ireland,,"semi-hard, brined",,,firm,washed,orange,"salty, sharp","earthy, strong",yes ,
Oro Italiano,pasteurized cow's milk,Italy,Veneto,"semi-hard, artisan",,,creamy and smooth,natural,yellow,"creamy, smooth",rich, no ,Moro Latteria di Moro Sergio
Oschtjepka,unpasteurized cow's and sheep's milk,Slovakia,Carpathian,"semi-hard, artisan",,,firm and supple,natural,pale yellow,sweet,herbal, no ,
Oscypek,unpasteurized cow's and sheep's milk,Poland,Tatra Mountains,"semi-hard, brined",Cottage,,firm,natural,pale yellow,salty,smokey, no ,
Ossau-Iraty,unpasteurized sheep's milk,France,Bearn & Iraty ,"firm, artisan",,,"creamy, firm and grainy",natural,ivory,"buttery, fruity, herbaceous, nutty","earthy, grassy", no ,
Oxford Blue,pasteurized cow's milk,England and United Kingdom,Buckinghamshire ,"semi-hard, artisan, blue-veined",Blue,,creamy,natural,white,"salty, sharp, spicy, tangy",strong,,Oxford Blue Cheese Company Ltd
Pacific Rock,pasteurized cow's milk,Canada,Quebec,hard,,30%,crumbly and firm,washed,orange,"buttery, earthy, nutty, subtle","fruity, rich",,La Maison Alexis de Portneuf Inc.
Pack Square,cow's milk,United States,Fairview,"semi-soft, artisan, soft-ripened",Brie,,"buttery, creamy, soft and soft-ripened",bloomy,white,"buttery, creamy, earthy, spicy","grassy, rich",,Looking Glass Creamery
Paesanella Bocconcin,pasteurized cow's milk,Australia,New South Wales,semi-soft,Mozzarella,,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",yes ,Paesanella Cheese Manufacturers
Paesanella Buffalo Mozzarella,pasteurized buffalo's and cow's milk,Australia,New South Wales,,Mozzarella,25.8 g/100g,,rindless,white,,,yes ,Paesanella Cheese Manufacturers
Paesanella Buffalo Ricotta,pasteurized buffalo's milk,Australia,New South Wales,"fresh soft, whey",,11.8 g/100g,"creamy, flaky and soft",rindless,white,"creamy, salty, sweet","fresh, milky, sweet",,Paesanella Cheese Manufacturers
Paesanella Burrata,cow's milk,Australia,,"fresh soft, artisan",Mozzarella,25.4 g/100g,creamy and soft,,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,Paesanella Cheese Manufacturers
Paesanella Caciotta,pasteurized cow's milk,Australia,,semi-soft,Caciotta,8.1 g/100g,"buttery, chewy and soft",rindless,white,"mild, milky","buttery, milky",yes ,Paesanella Cheese Manufacturers
Paesanella Caciotta with Rocket & Chilli,pasteurized cow's milk,Australia,,semi-soft,Caciotta,8.1 g/100g,"buttery, chewy and soft",,ivory,"herbaceous, mild, milky, spicy","herbal, mild, milky",yes ,Paesanella Cheese Manufacturers
Paesanella Cherry Bocconcin,pasteurized cow's milk,Australia,New South Wales,semi-soft,Mozzarella,,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",yes ,Paesanella Cheese Manufacturers
Paesanella Dry Ricotta,pasteurized cow's milk,Australia,New South Wales,"fresh soft, whey",,,firm,rindless,white,"creamy, mild, salty, sweet","mild, sweet",,Paesanella Cheese Manufacturers
Paesanella Fresco,pasteurized cow's milk,Australia,,"semi-hard, artisan",Pecorino,18.4  g/100g,chewy and firm,rindless,pale yellow,"mild, tangy",mild,yes ,Paesanella Cheese Manufacturers
Paesanella Fresh Ricotta,pasteurized cow's milk,Australia,New South Wales,"fresh soft, whey",,,firm,rindless,white,"creamy, mild, salty, sweet","mild, sweet",,Paesanella Cheese Manufacturers
Paglierino,sheep's milk,Italy,Campania,semi-hard,,,compact and elastic,natural,pale yellow,"citrusy, spicy, sweet",grassy, no ,Casa Madaio
Paillot de Chevre,pasteurized goat's milk,Canada,Quebec,"soft, soft-ripened",,26%,"firm, runny, smooth and soft-ripened",bloomy,white,"acidic, nutty, tangy","goaty, lactic",,La Maison Alexis de Portneuf Inc.
Palet de Babligny,cow's milk,France,Burgundy,soft,,,creamy,washed,,,, no ,
Pallone di Gravina,pasteurized cow's milk,Italy,"Gravina in Puglia, Murgia","semi-hard, artisan",Italian Cheese,,smooth,,golden yellow,"spicy, strong",,,Caseificio Artigianale dei Fratelli Derosa
Paneer,pasteurized cow's or water buffalo's milk,Bangladesh and India,,fresh firm,Cottage,20.8 g/100g,crumbly and firm,rindless,white,milky,"fresh, milky",yes ,
Panela,pasteurized or Skimmed cow's milk,Mexico,,"fresh firm, artisan",Cottage,,creamy and crumbly,natural,white,"creamy, mild","fresh, milky",yes ,Cacique Inc.
Paniolo,pasteurized cow's milk,United States,Vermont,"soft, artisan",,,"buttery, creamy and runny",washed,pale yellow,"buttery, creamy, meaty",mushroom,,Willow Hill Farm
Pannerone,unpasteurized cow's milk,Italy,Lodi,"soft, semi-soft, artisan",,50%,"creamy, grainy and open",natural,ivory,"bitter, buttery, smooth, sweet",rich, no ,
Panquehue,pasteurized cow's milk,Chile,Aconcagua ,"semi-soft, artisan",,,open and smooth,natural,cream,"creamy, nutty, savory, spicy",,yes ,Andes Cheese
Pant ys Gawn,pasteurized goat's milk,"Great Britain, United Kingdom and Wales","Abergavenny, Monmouthshire","fresh soft, artisan",,22.8 g/100g,creamy,rindless,white,"herbaceous, salty, sour, spicy",goaty,yes ,Abergavenny Fine Foods
Paprika Rebel,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy,natural,pale yellow,"smokey , spicy","smokey, spicy",,Sulzberger Käserebellen Sennerei GmbH
Parmesan,unpasteurized cow's milk,Italy,"Provinces of Parma, Reggio Emilia, Modena, Bologna , Mantua ","hard, artisan",Parmesan,25.83  g/100g,"crystalline, dense and grainy",natural,straw,"fruity, nutty, savory, sharp",strong, no ,Various
Parrano,pasteurized cow's milk,Netherlands,Het Groene Hart ,"hard, artisan",Gouda,,"creamy, firm, open and smooth",plastic,pale yellow,"buttery, creamy, nutty, savory, sweet",,,Uniekaas Nederland B.V.
Pas de l'Escalette,unpasteurized cow's milk,France,Larzac,"semi-hard, artisan",,,creamy,natural,straw,sweet,fresh, no ,
Paski Sir (PDO),pasteurized sheep's milk,Croatia,Island of Pag,"hard, artisan",,,"crumbly, flaky and grainy",natural,yellow,"salty, savory, tangy",pleasant,,
Passendale,pasteurized cow's milk,Belgium,Passendale,"semi-soft, soft-ripened",,28%,creamy,natural,golden orange,mild,sweet, no ,
Pastoral,pasteurized goat's milk,United States,California,soft,,,smooth,,white,"creamy, herbaceous","fresh, goaty",,Andante Dairy 
Pate de Fromage,goat's or sheep's milk,France,,soft,,50%,,,,,, no ,
Patefine Fort,pasteurized cow's milk,France,Isere,"soft, artisan",,,smooth,natural,white,sour,fresh, no ,
Pave d'Affinois,pasteurized cow's milk,France,,"fresh soft, soft-ripened",,60%,creamy and smooth,bloomy,ivory,"grassy, mild, milky, sweet","fresh, milky, pleasant",yes ,Fromagerie GUILLOTEAU
Pave d'Auge,pasteurized or unpasteurized cow's milk,France,,semi-soft,,50%,smooth,washed,pale yellow,"buttery, smooth",, no ,Various
Pave de Chirac,pasteurized goat's milk,France,Chirac,"soft, artisan",,,creamy and smooth,natural,ivory,mild,fresh, no ,
Pawlet,unpasteurized cow's milk,United States,Vermont,"semi-hard, artisan",Swiss Cheese,,buttery and creamy,natural,pale yellow,"creamy, meaty, mushroomy, nutty","herbal, mushroom, stinky",yes ,Consider Bardwell Farm
Peau Rouge,pasteurized cow's milk,Canada,Quebec,hard,,25%,crumbly and firm,washed,pale yellow,"caramel, nutty, woody",strong,,Les Dépendances 
Pecorino,sheep's milk,Italy,,hard,Pecorino,,"creamy, crumbly, firm and open",,pale yellow,"buttery, mild, nutty",, no ,
Pecorino a Latte Crudo,unpasteurized sheep's milk,Italy,Emilia-Romagna,"semi-hard, artisan",Pecorino,,compact and crumbly,natural,straw,"piquant, savory, sharp, smooth",strong,,Romaniae Terrae
Pecorino all Canapa,pasteurized or unpasteurized sheep's milk,Italy,Emilia Romagna,"semi-soft, artisan",Pecorino,,smooth,leaf wrapped,white,"herbaceous, smooth","aromatic, herbal",,
Pecorino allo Zafferano,pasteurized sheep's milk,Italy,Tuscany,"semi-hard, artisan",Pecorino,,"buttery, compact and smooth",natural,yellow,"creamy, floral, mild, sweet","aromatic, rich",,"Caseificio Pinzani Srl , Romaniae Terrae"
Pecorino al Pepe ,unpasteurized sheep's milk,Italy,Tuscany,"semi-soft, artisan",Pecorino,,compact and crumbly,natural,cream,"sharp, spicy, strong","pleasant, strong",,Caseificio Pinzani Srl 
Pecorino al Tartufo ,unpasteurized sheep's milk,Italy,Tuscany,"semi-soft, artisan",Pecorino,,"compact, crumbly and firm",natural,cream,"earthy, fruity","aromatic, pungent",,Caseificio Maremma di Spadi Fortunato & C. srl
Pecorino Barba Del Passatore,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-soft, artisan",Pecorino,,"buttery, smooth and soft",natural,white,"buttery, smooth","pronounced, strong",,Romaniae Terrae
Pecorino Boccondilatte,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-hard, artisan",Pecorino,,crumbly,natural,white,"subtle, sweet",pronounced,,Romaniae Terrae
Pecorino Camomilla,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-soft, artisan",Pecorino,,"creamy, smooth and soft",natural,white,"creamy, smooth","aromatic, floral",,
Pecorino Con Caglio Vegetale ,unpasteurized sheep's milk,Italy,Tuscany,"semi-hard, artisan",Pecorino,,compact and creamy,natural,white,"bitter, subtle, vegetal","earthy, pleasant",yes ,Caseificio Pinzani Srl 
Pecorino dei Malatesta al Sangiovese,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-soft, artisan",Pecorino,,smooth,natural,white,"acidic, smooth, subtle, sweet",pleasant,,Romaniae Terrae
Pecorino Dei Malatesta Sotto Cenere,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-soft, artisan",Pecorino,,smooth,ash coated,white,"smooth, subtle, sweet","fresh, milky",,Romaniae Terrae
Pecorino dei Monaci,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-soft, artisan",Pecorino,,creamy and smooth,natural,white,"milky, smooth, sweet","milky, sweet",,Romaniae Terrae
Pecorino di Sogliano,pasteurized sheep's milk,Italy,Emilia-Romagna,"hard, artisan",Pecorino,,crumbly and grainy,washed,white,"earthy, meaty, strong","pungent, strong", no ,Romaniae Terrae
Pecorino di Talamello,pasteurized sheep's milk,Italy,Emilia-Romagna,hard,Pecorino,,"compact, crumbly and grainy",washed,white,"earthy, meaty, strong","pungent, rich, strong", no ,Romaniae Terrae
Pecorino di Vigna,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-soft, artisan",Pecorino,,smooth and soft,leaf wrapped,straw,"herbaceous, smooth","aromatic, herbal",,Romaniae Terrae
Pecorino Erica,unpasteurized sheep's milk,Italy,Emilia-Romagna,"semi-soft, artisan",Pecorino,,compact and smooth,natural,white,"milky, subtle, sweet","aromatic, floral, strong",,Romaniae Terrae
Pecorino Fiordaliso,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-hard, artisan",Pecorino,,compact,natural,ivory,"smooth, subtle","aromatic, floral, pronounced",,Romaniae Terrae
Pecorino Foglie Noci,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-hard, artisan",Pecorino,,crumbly and grainy,leaf wrapped,white,"earthy, milky, nutty, sweet","fresh, nutty",,Romaniae Terrae
